question,answers1,answers2,answers3,correct,comment
16.萩の漁港などでウミネコという鳥をよく見かけるが、その名前の由来は？(125),猫のような声で鳴く,餌をめぐって猫と争う,ネズミをよく捕らえて食べる,1,猫のように「ミャーオ、ミャーオ」と鳴くためその名がついた。海辺に住む日本を代表する中型のカモメの仲間。
17.笠山のふもとにある明神池には、主にどんな魚が住んでいる？(128),コイやフナなどの淡水魚,サケやアユなどの川と海を行き来する魚,タイやエイなどの海水魚,3,明神池は、笠山と本土の間に砂洲ができて陸続きになっていた時に埋め残された池。溶岩の隙間を通じて海と繋がっているため、海水魚が住んでいる。
18.萩の名産「焼きぬき蒲鉾」の主な原料となっている魚はどれ？(132),フグ,イワシ,エソ,3,エソは砂地に伏せたり潜んだりし、カニや貝などを襲って食べる。焼きぬき蒲鉾にはエソの他、キダイも使用されることがある。
19.萩沖の砂底で獲れる次の魚のうち、目が体の左側に寄っているのはどれ？(142),ソウハチ（キツネガレイ）,ヒラメ,アンコウ,2,「左ヒラメ右カレイ」というように、目のある側を上、腹を手前にして魚を置いたとき、頭が左にあればヒラメ類、右ならカレイ類（例外あり）。
20.萩の早春の風物詩となっている四つ手網漁で獲る魚は？(149),シロウオ,アジ,アマダイ,1,シロウオは体長4~5cmほどのハゼ科の魚。酢醤油（すいち）につけて活きたまま食べる「おどり食い」が有名。
21.漢字で「海鼠」と書き、萩の漁業者の間で「たぁらご（俵子）」とよばれているものは何？(174),ホヤ,ナマコ,ウニ,2,ナマコは萩の漁業者の間で「たぁらご（俵子）」とよばれている。冬の味覚として特に親しまれているのはマナマコという種類。なかでも赤みを帯び高級とされる「赤なまこ」が萩ではよく獲れる。
22.次の中で最も早く鳴きはじめるセミはどれ？(193),ニイニイゼミ,クマゼミ,アブラゼミ,1,萩ではまず6月下旬からニイニイゼミ鳴きはじめ、次いで7月上旬からアブラゼミ、7月中旬からクマゼミと続く。セミの鳴き始めの時期は地域によって異なり、気候の違いや変動を知る手がかりにもなっている。
23.萩に見られるハチで最も危険性（攻撃性や毒性）が高い種類はどれ？(196),アシナガバチ,スズメバチ,クマバチ,2,スズメバチは自分から黒い物に襲いかかってくるいほど攻撃性が強く、死者も出す。アシナガバチは刺激しなければ刺さないがショック死の例があり、注意が必要。クマバチはよほど刺激しない限り襲ってこない。
24.「市の生物」されている蛍には色々な種類がある。市内で最も放流・保護され親しまれている種類はどれ？(197),ゲンジボタル,ヘイケボタル,ヒメボタル,1,萩を含め全国的に最も親しまれているのは、体長1.5cmになるゲンジボタル。ヘイケボタルやヒメボタルはもっと小さく、萩にも生息しているが少ない。
25.萩で飛んでいるサギがツルと見誤れることがある。ツルは首も羽も足も伸ばして飛ぶが、サギはどのようにして飛ぶことで見分けられる？(118),足を折り曲げて飛ぶ,首を曲げて飛ぶ,羽を細めて飛ぶ,2,首を伸ばして飛ぶのがツル、曲げて飛ぶのがサギ。
test,test,test,test,1,test
