question,answers1,answers2,answers3,correct,comment
15.阿武川の流域などで見られるハヤブサは、遠くからでもオスメスが見分けられる。それはどんな点？(120),メスの方が大きい,オスの方が足の指が長い,オスは胸の模様が横しま,1,猛禽類タカ科は普通メスがオスよりも大きく、ハヤブサにおいても同じ。萩では笠山などでも崖で繁殖している。
16.川上地域に時々飛んでくるオジロワシは、ある国の「国鳥」とされている。その国はどこ？(121),ロシア,モンゴル,カザフスタン,2,オジロワシはシベリアやモンゴルなどのユーラシア北部で生まれ育つが、冬は大地が凍るため日本に渡ってくる。川上地区では以前から時々観測されている。
17.冬になると萩市内の市街地や人里で多く見られるようになる鳥はどれ？(126),カラス,スズメ,バン,3,萩市内ではカラスやスズメが多く見られるが、冬になるとバンやオオバンなどの水鳥が多く見られる。
18.はぎでもよく獲れるマグロやイワシなどの「青魚」にとくに含まれ、肥満や認知症の予防に効くと話題になっている物質は何？(138),DNA,DHA,ATP,2,DHAはドコサヘキサエン酸の略で、魚の脂に多く含まれている。脳を活性化させたり、視力を良くしたり、中性脂肪を抑えるのに効くとされている。
19.萩で「金太郎」と呼ばれるヒメジは、不思議な技を使う。それは何？(141),敵に襲われると電気を発生する,粘液で風船を作りその中で眠る,ヒゲを使って餌を探し当てる,3,ヒメジはあごから2本のヒゲが生えている。そのヒゲには味を感じる器官がついていて、ヒゲで海底をさぐって砂に潜んでいるエビなどの餌を感知することができる。
20.萩近海にたくさん生息しているが、かつて吉田松陰が食べないと決意していた魚は？(147),サメ,アマダイ,フグ,3,吉田松陰は、河豚（ふぐ）の味に惑わされ毒にあたって命を落とすのは武士の名折れであるから、自分はフグを食べないと「河豚を食わざるの説」を記している。
21.冬、萩にの浜辺には白くて優雅なアオイガイの殻が漂着することがある。そのアオイガイの正体は？(165),巻き貝の仲間,タコの仲間,イカの仲間,2,世界中の暖かい海を泳いで暮らすカイダコというタコの一種。メスが自分の卵を保育するために殻を作り、中に入ったまま泳いで暮らしている。オスは非常に小さく、殻を作らない。
22.近年萩の海で「沖縄の県魚」とされている魚が目撃されることがある。その魚は？(148),カツオ,タカサゴ（グルクン）,モンガワラハギ,2,タカサゴは体長20cmほどの青く美しい魚で、死ぬと赤に変わる。熱帯の海に多いが対馬暖流も影響の強い見島や相島近海で近年ダイバーに目撃されたり漁獲されることがある。
23.萩三角州の南橋の松本川と橋本川が交わる太鼓湾ではシジミが獲れる。それはどんなシジミ？(170),琵琶湖原産のセタシジミ,手のひらサイズのヒルキシジミ,汽水にすむヤマトシジミ,3,海水が太鼓湾にまで遡って侵入している。そのためここは宍道湖（しんじこ）などで有名な海水と淡水が混ざった「汽水」にすむシジミが生息している。
24.ナメクジの仲間は次のうちどれ？(180),ヒル,カタツムリ,アメーバ,2,ナメクジはカタツムリと共に、陸上に住む軟体動物。また、貝殻を持たない巻き貝の仲間。
25.萩を含む全国各地で、カブトムシやクワガタムシを見つけるにはどんな植物のまわりを探せば良い？(200),クヌギなどの落葉紅葉樹,マツなどの常緑針葉樹,ツバキなどの常緑紅葉樹,1,カブトムシやクワガタムシの仲間の多くはクヌギやコナラなどの落葉紅葉樹に集まり、その樹液を食べる。
test,test,test,test,1,test
