ジャンル,難易度,問題文,選択肢A,選択肢B,選択肢C,答え,解説
自然,上級,「萩の博物館の祖」とよばれる人物は誰か。,田中市郎,池田美成,二階重楼,A,
自然,上級,冬に萩で出回ることがあるクロマグロの子どもは何と呼ばれるか。,ぼてこ,さごし,よこわ,C,
自然,上級,萩でよく水揚げされ、若いころに「ヤズ」と呼ばれる魚は何か。,スズキ,ヒラマサ,ブリ,C,
自然,上級,萩の海にもときどき現れ、「福の神」と呼ばれる魚は何か。,ジンベエザメ,クロマグロ,オニイトマキエイ,A,
自然,上級,近年、萩の海で「沖縄県の県魚」とされる魚が見られるが何か。,カツオ,タカサゴ,モンガラカワハギ,B,
自然,上級,萩の磯で海藻を食べて暮らす円錐形の巻貝は何と呼ばれるか。,にな,にし,からす貝,A,
自然,上級,萩でまれに見つかるダイオウイカの体内に含まれる特殊なものは何か。,アンモニア,塩酸,赤い血球,A,
自然,上級,全国各地で、ホタルの幼虫の大切な餌となっている生物はどれか。,巻貝,小魚,ヤゴ,A,
文化,初級,玉江に江戸時代から伝わる和船競漕を何とよぶか。,ぺ一ロン,オシクラゴウ,カイデンマ,B,
文化,初級,住吉神社の御輿を担ぐ際のかけ声は、次のうちどれか。,チョウサッ,セイヤッ,オイサッ,C,
文化,初級,萩往還の一升谷(いっしょうだに)の名前の由来となったものは何か。,水,豆,米,B,
文化,初級,菊屋家住宅主屋西面腰壁などに見られる瓦を貼り付けている壁を何というか。,海鼠壁,貼り壁,瓦壁,A,
文化,初級,旧久保田家住宅の正面2階の太い格子の入った窓を何というか。,上げ下げ窓,無双窓,虫籠窓,C,
文化,中級,萩地方の農村部で行われる田植え後の慰労会を何とよぶか。,ドロオトシ,オコモリ,サナボリ,A,
文化,中級,阿武川や藍場川などに設けられた船着き場を何と呼ぶか。,ガンギ,フナザ,ハトバ,C,
文化,中級,萩地方の方言で、親友のことを何とよぶか。,チングー,ポンユー,ホーバイ,A,
文化,中級,「佐々並豆腐」を大変好んで食した萩出身の首相は誰か。,伊藤博文,山県有朋,桂太郎,A,
文化,中級,萩出身の戸塚きくが全国に広めたものは何か。,刺繍,ちぎり絵,縮緬細工,A,
文化,中級,重要文化財常念寺表門の構造形式を何というか。,薬医門,四脚門,高麗門,B,
文化,中級,萩・明倫学舎本館の屋根の大棟の両端に付けられた屋根飾りを何というか。,鬼瓦,鴟尾,鳥衾,B,
文化,中級,田万川地域の西堂寺のお堂を上から見ると何角形か。,四角形,五角形,六角形,C,
文化,中級,萩城下の伝統的町家では、一般的に表通りに面した部屋のことを何とよぶか。,オモテノマ,カミノマ,ミセノマ,C,
文化,中級,浜崎の町家の表側の建具として、最も一般的であったものはどれか。,蔀戸,格子戸,舞良戸,A,
文化,上級,萩地方で元旦に飲む大福とよぶ茶の中に入れるものは何か。,梅干,フク(河豚)の干物,黒砂糖,A,
文化,上級,萩藩御抱え絵師の一派であった雲谷派とは、誰の画系を継いだか。,雪村,雪貞,雪舟,C,
文化,上級,田万川(たまがわ)地域出身で『天城越え』などを作詞したのは誰か。,吉岡治,星野哲郎,阿久悠,A,
文化,上級,かつて見島(みしま)に立ち寄った回船を何とよんだか。,千石船,北前船,北国船,B,
歴史,初級,萩市見島の古墳群に埋葬されたのは、どのような人たちと考えられているか。,渡来人,交易人,軍人,C,
歴史,初級,萩城を築城したのは誰か。,毛利元就,毛利輝元,毛利秀就,B,
歴史,初級,萩藩の石高(朱印高、表高)は、およそ何石か。,約110万石,約37万石,約15万石,B,
歴史,初級,萩藩の初代藩主は誰か。,毛利元就,毛利輝元,毛利秀就,C,
歴史,初級,萩八景を選定した萩藩主は誰か。,毛利吉就,毛利重就,毛利敬親,A,
歴史,初級,萩藩が創設した藩校は、何というか。,弘道館,明倫館,日新館,B,
歴史,初級,萩の城下町に入る橋で最初に架けられた橋はどれか。,玉江橋,橋本橋,松本橋,B,
歴史,初級,伊藤博文は、日本の紙幣に肖像が使われていたことがあるが、何円札か。,千円札,5千円札,1万円札,A,
歴史,初級,楫取素彦が、初代の県令となった県はどこか。,山口県,高知県,群馬県,C,
歴史,初級,井上馨が条約改正交渉を進めるため、建設した社交場を何というか,鹿鳴館,迎賓館,表慶館,A,
歴史,初級,松下村塾の出身者渡辺蒿蔵が携わった事業は何か。,鉱山事業,鉄道事業,造船事業,C,
歴史,初級,夏みかんの経済栽培を推進した人物は誰か。,小幡高政,木梨信一,口羽良介,A,
歴史,初級,「明治日本の産業革命遺産」が世界文化遺産に登録されたのはいつか。,平成27年（2015）,平成26年（2014）,平成21年（2009）,A,
歴史,中級,「白牛伝説」で知られる萩市内の寺はどこか。,龍蔵寺,広厳寺,徳隣寺,A,
歴史,中級,萩市の大井という地名が文献に最初に現れるのはいつの時代か。,平安時代,鎌倉時代,室町時代,B,
歴史,中級,毛利輝元の菩提寺はどれか。,天樹院,大照院,東光寺,A,
歴史,中級,萩から江戸まで、参勤交代のために要した日数はどれか。,約半年,約1か月,約2か月,B,
歴史,中級,藩校明倫館という館名の出典はどれか。,論語,孟子,中庸,B,
歴史,中級,江戸時代、笠山は何とよばれていたか。,越ヶ浜山,椿東山,奈古屋山,C,
歴史,中級,江戸時代、笠山に放し飼いにされていた動物は。,牛,馬,猿,C,
歴史,中級,桂太郎が創設した学校は、現在の何大学か。,独協大学,拓殖大学,立教大学,B,
歴史,中級,大坂の造幣局長をつとめた、萩出身の人物は誰か。,国司仙吉,遠藤謹助,河北義次郎,B,
歴史,中級,日本の「鉄道の父」とよばれている井上勝は、どこで客死したか。,ローマ,パリ,ロンドン,C,
歴史,中級,明治時代に、町村制の施行により萩町が誕生したが、初代町長は誰か。,中村雪樹,桂路祐,杉民治,A,
歴史,中級,明治時代終りごろの夏みかんの出荷額は、当時の萩町の年間予算額の何倍か。,約3倍,約5倍,約8倍,C,
歴史,中級,萩が市制を施行したのは何年か。,昭和3年(1928),昭和7年(1932),昭和12年(1937),B,
歴史,上級,萩という地名が最初に古文書に現れるのはいつか。,永正17年(1520),天文19年(1550),天正8年(1580),B,
歴史,上級,萩藩の江戸の上屋敷は、現在のどこにあったか。,日比谷公園,東京ミッドタウン,六本木ヒルズ,A,
歴史,上級,毛利輝元の正室の菩提寺はどれか。,龍昌院,清光寺,妙悟寺,B,
歴史,上級,江戸時代、大溝(藍場川)で禁止されていたことは次の中ではどれか。,魚釣り,水遊び,洗濯,A,
歴史,上級,萩町奉行が執務した役所を何とよんだか。,御客屋,御本陣,御船倉,A,
歴史,上級,現存する最古の萩城城下町絵図は、いつ作成されたか。,慶長17年(1612),寛永9年(1632),慶安5年(1652）,C,
歴史,上級,伊能忠敬は、萩に何回測量に来たか。,1回,2回,3回,C,
歴史,上級,第三次桂太郎内閣の文部大臣をつとめた人物は誰か。,曾禰󠄀荒助,山県伊三郎,柴田家門,C,
歴史,上級,北海道で初めてリンゴ栽培に成功した萩出身の人物は誰か。,桂二郎,津田教助,都野豊之進,B,
歴史,上級,第3代中央気象台長をつとめた萩出身の人物は誰か。,山根正次,中村精男,飯田俊徳,B,
歴史,上級,東萩駅前の松本川に架かる萩橋を最初に架橋した人物は誰か。,久原房之助,厚東常吉,吉武恵市,B,
幕末維新,初級,吉田松陰の実名（諱）は、何といったか。,矩方,虎之助,二十一回猛士,A,
幕末維新,初級,幼いころの吉田松陰に、厳しく勉強を教えた叔父は誰か。,久保五郎左衛門,玉木文之進,山田亦介,B,
幕末維新,初級,吉田松陰が萩藩主毛利敬親の前で初めて講義をしたのは何歳のときか。,11歳,16歳,21歳,A,
幕末維新,初級,吉田松陰が海外密航を試みた場所はどこか。,横浜,箱館,下田,C,
幕末維新,初級,吉田松陰の松下村塾に学んだ塾生は、およそ何人か。,約30人,約60人,約90人,C,
幕末維新,初級,高杉晋作の生誕地は萩のどこか。,江戸屋横町,菊屋横町,伊勢屋横町,B,
幕末維新,初級,高杉晋作が、度胸を試した天狗面が現在も残っている寺の名は何か。,東光寺,長寿寺,円政寺,C,
幕末維新,初級,高杉晋作と松下村塾でライバル関係にあって、双璧とよばれたのは誰か。,桂小五郎,伊藤博文,久坂玄瑞,C,
幕末維新,初級,吉田松陰の妹で、久坂玄瑞と結婚し、後に楫取素彦と再婚したのは誰か。,千代,寿,文,C,
幕末維新,初級,高杉晋作は、文久3年(1863)6月7日、奇兵隊を結成したが、その場所はどこか。,萩,下関,三田尻,B,
幕末維新,初級,高杉晋作が愛し、自分の変名や息子の幼名にも使った花は何か。,桜,菊,梅,C,
幕末維新,初級,四境戦争(幕長戦争)の石州口の戦いで長州軍を指揮したのは誰か。,高杉晋作,大村益次郎, 山県有朋,B,
幕末維新,中級,萩藩が反射炉の構造を学ぶために藩士らを派遣したのは、どこの藩か。,水戸藩,佐賀藩,薩摩藩,B,
幕末維新,中級,萩藩で西洋式の大砲をつくった一族は何家か。,国司家,郡司家,岡部家,B,
幕末維新,中級,吉田松陰が乗り込んだ黒船はどれか。,サスケハナ号,モリソン号,ポーハタン号,C,
幕末維新,中級,松下村塾の建物の広さは、どれくらいあったか。,約20畳,約30畳,約40畳,A,
幕末維新,中級,伊藤博文は、かつて吉田松陰から将来何になると言われたか。,文筆家,周旋家,芸術家,B,
幕末維新,中級,次の人物の誕生地のうち松下村塾に距離で一番近いところは誰の誕生地か。,久坂玄瑞,高杉晋作,吉田稔麿,C,
幕末維新,中級,吉田松陰の肖像画を描いた松下村塾生は誰か。,高島北海,森寛斎,松浦松洞,C,
幕末維新,中級,萩で写真術の訳本「ホトガラヒーノ説」を著したのは誰か。,小野為八,山本伝兵衛,中嶋治平,C,
幕末維新,中級,奇兵隊の2代目総督になったのは、滝弥太郎ともう１人は誰か。,三浦梧楼,河上弥市,前原一誠,B,
幕末維新,中級,イギリスに密航留学した長州ファイブが、入学した大学はどこか。,ケンブリッジ大学,オックスフォード大学,ロンドン大学,C,
幕末維新,中級,奇兵隊全隊士のうち農民の占める割合は。,約50%,約40%,約30%,B,
幕末維新,中級,病に倒れた高杉晋作が「薬だ」として飲んだのは何か。,オレンジュース,ビール,ワイン,C,
幕末維新,上級,吉田松陰は、山県有朋をどのように評価していたか。,「気」がある。,「勇敢」に事にあたる。,「沈静」で「志」がある。,A,
幕末維新,上級,松下村塾の塾生で、他藩出身者は次のうち誰か。,赤禰武人,富樫文周,入江九一,B,
幕末維新,上級,高杉晋作が奇兵隊結成と同時に再編成した藩正規軍の名は何か。,選鋒隊,遊撃隊,荻野隊,A,
幕末維新,上級,長州藩へ逃れた七卿の1人、沢宣嘉が潜伏した大井(萩市)の寺はどれか。,正楽寺,大応寺,弘誓寺,C,
幕末維新,上級,奇兵隊の2代目総督になったのは、滝弥太郎ともう１人は誰か。,三浦梧楼,河上弥市,前原一誠,B,
幕末維新,上級,長州ファイブが横浜を出港した際に乗った船の名前はなんというか。,ユーリアラス号,プリンセス・ロイヤル号,チェルスウィック号,C,
幕末維新,上級,イギリスに密航留学した長州ファイブが、入学した大学はどこか。,ケンブリッジ大学,オックスフォード大学,ロンドン大学,C,
幕末維新,上級,山尾庸三がイギリスにいたときに出会ったものがあるが、それは何か。,手話,電球,電話機,A,
幕末維新,上級,禁門の変のとき、山田顕義は久坂玄瑞率いる何隊に加わったか。,先鋒隊,御楯隊,浪士隊,C,
幕末維新,上級,禁門の変後、桂小五郎(木戸孝允)が潜伏したのは現在のどこか。,兵庫県北部,鳥取県北部,岡山県北部,A,
幕末維新,上級,高杉晋作が四国へ逃れたとき、晋作を匿った侠客は誰か。,日柳燕石,大前田英五部,三河屋幸三郎,A,
