question,choices1,choices2,choices3,answer,comment
11.萩地方の農村部で行われる田植え後の慰労会を何と呼ぶ？(16),ドロオシ,オコモリ,サナボリ,1,田植え後の道具仕舞いや慰労のことをドロオシという。ちなみにテマガエ（手間換え）は近隣同士の労力交換のことで、サナボリは田植え終了を感謝して田の神を送る儀式のこと。
12.むつみ地域の木部下野田地区において、牛馬の安全祈願のために行われている火祭りはどれ？(19),どんど焼き,とへとへ,柱松,3,牛馬の安全祈願のために行われている火祭りを柱松といい、その昔疫病が流行して農耕に欠かせぬ牛馬が多く死んだ際に、地区の祇園様に願掛けとしてこの祭を行ったところ、疫病が止んだと伝えられている。
13.萩地方では旧暦8月1日に八朔の節句に様々なものを送り合っていたが、子どもの生まれた家に送ったものは何？(20),幟旗,サラシ布,土人形,3,子どもの生まれた家には土人形が送られ、現在も素朴な土人形が数多く伝わっている。
14.浜崎の住吉神社の夏祭りにおいて、江戸時代から巡行が続いている華やかな山車(だし)は、御船と何？(23),踊り車,御神幣,猿田彦面,1,住吉神社の夏祭りは、江戸時代から華やかな山車、御船と踊り車が繰り出す祭として知られている。
15.住吉祭において、神社の神輿を担いできた伝統的組織があるが、それはどれ？(25),上荷組(うわにぐみ),協敬組(きょうけいぐみ),大船頭組(おおせんどうぐみ),1,住吉神社の神輿を担いできた伝統的組織、上荷組は元々は江戸時代の船の上で働いていた人たちの関係者で組織されていた。
16.住吉神社の神輿を伝統的組織が担ぐ時の掛け声は、次のうちどれ？(27),チョウサッ,セイヤッ,オイサッ,3,通常は「オイサッオイサッ」という掛け声で、神輿を大きく盛り上げて神霊を励ます際には「ホーランエーノ、ヨイヤサノサッサ」という掛け声も聞かれる。
17.天神祭において、川島地区から奉納される「聖」と呼ばれる山車の一種は、何人で担ぐ？(32),1人,4人,8人,1,「聖」は、高野聖が背負っていた笈(おい)と呼ばれる箱を華やかに飾ったもので、1人で担ぐ。
18.川島地区の聖奉納の関係者は、天神様の嫌いなものを現在でも飼わない。それは何？(33),豚,牛,鶏,3,火難除けを天神様に祈願することから、天神様が嫌いとされる鶏を飼わない。飼うと火事が起きると伝えられている。
19.萩地方では、初物を食べるときにある方角を向いて笑うという風習が伝えられているが、その方角は？(37),東,西,南,1,東を向いて笑うことで、またその食べ物を口にすることができるとされており、山口県下には収穫を祝い、翌年の豊作を祈願する笑い祭が伝わっている。なぜ東を向くかについては残念ながら伝えられていない。
20.萩地方の蒲鉾は「焼き抜き」という製法で作られる。これはどのような製法？(38),魚のすり身を入れた型を焼く,板に盛ったすり身を炙る,ガマの穂にすり身を塗って焼く,2,蒲鉾板の上にすり身を盛り、それを板の下から炙って作られる。
21.萩地方で客事の際によく作られる「いとこ煮」に入っている豆はどれ？(39),インゲン豆,おたふく豆,あずき,3,いとこ煮は、昆布だし汁に椎茸、砂糖、醤油を合わせて味付けし、一度煮上げた状態のあずきを最後に入れる。
22.萩地方で一夜干しや南蛮漬けとしてよく食されるユニークな呼び名の魚はどれ？(40),金太郎,庄屋の婆,三十郎,1,萩市ではヒメジという赤い魚のことを金太郎と呼ぶ。赤い体が金太郎を連想させるという意見もあるが、名前の由来は定かではない。
23.大島では祭や客事の際、炊いたご飯に煮込んだ加薬を合わせた混ぜご飯が作られる。この混ぜ飯を何と呼ぶ？(42),かて飯,まぶり飯,三宝飯(さんぼう),2,まぶり飯は加薬を炊き込むのではなく、あらかじめ調理した加薬を炊いたご飯にまぶす（混ぜる）ことが特徴。
24.10月初め、松本なかの倉の人丸神社秋祭りが執り行われる頃に出回り始める食べ物は何？ (44),レンコン,サツマイモ,柿,3,人丸神社は柿本人麻呂を祀る神社だが、松本地区は昔から柿の栽培が盛んで大木も多くみられる。昔からこの祭には合わせ柿が出始めるとされている。
25.阿武川や橋本川、松本川、三角州内の藍場川や新堀川に設けられた船着場を何と呼ぶ？(46),ガンギ,フナザ,ハトバ,3,ハトバ、またはハタバと呼ばれている。
26.かつて三角州内の低湿な場所で多くみられたトンボを、はぎの子どもたちは何を使って捕っていた？(49),釣竿と糸,針金と蜘蛛の巣,笹竹,1,まずはメスのトンボを捕り、釣竿の先に結んだ糸で軽く縛って空を泳がせ、絡みつくオストンボを釣り捕るもので、トンボ釣りと呼ばれた。
27.現在で言う竹馬を、江戸時代の萩では何と呼んでいた？(50),足上げ,足駄(あしだ),足高,3,江戸時代から明治時代にかけて萩城下では竹の棒にまたがって走り回るものを「竹馬」と呼び、現代の竹馬を「足高」と呼んだ。
28.萩城下町で寺院と墓が多いことから、萩の町には何が多いと言われた？(53),駄菓子屋,蚊,カラス,2,墓の花立てにボウフラが発生することから、城下百ヶ寺と言われる寺院と墓の多さ例示として、蚊が多いと言われた。
29.萩城下の町屋で、建具や柱、天井板などうに防腐防水処理のために塗ったものはどれ？(54),漆,柿渋,菜種油,2,未熟な青い柿を砕いて水と合わせ発酵させた柿渋を、防腐防水目的で建物をはじめ、ざるや桶など様々なものに塗った。
30.萩地方の石工職人は、石材を割る際に用いられたクサビを何と呼んだ？(56),ヤ,セットウ,タガネ,1,石の目に沿って矢穴を彫り、そこに矢を打ち込んで石を割る。このことからヤと呼ばれていた。
31.大島や相島で黒松の幹と、5〜6方向に伸びる枝を利用して自作する背負籠を何と呼ぶ？(58),釈迦の手,鳥の巣,傘籠,2,形状が鳥の巣に似ていることから鳥の巣と呼ばれる。
32.萩地方で用いられる椿の木の硬く、蜜な材質を活かした民具は何？(60),船の櫓,六尺天秤棒,杵（きね）,3,硬さと重さがあるため、杵に適していた。他にも木槌、木魚、印鑑などにも用いられる。
33.萩城下における最後西国観音霊場巡りの最も古い記録は何年頃？(64),1750年頃,1800年頃,1850年頃,1,西国観音霊場巡りは、全国的には江戸時代の中頃に始まったとされている。萩城下では1750年頃から始まったということが最近の調査で明らかになった。
34.萩地方で花嫁が婚家に腰を落ち着けるようにと、婚礼の際に持ち込まれるものは何？(67),地蔵,石臼,米俵,1,新郎の友人や近所の人たちが、地域の地蔵に化粧を施し持ち込み、婚礼の後新郎新婦がよだれかけを新調し元の場所に戻す。
35.萩地方で生児が親や祖母に連れられて初めて宮参りするのは、生後何日ごろ？(68),33日前後,49日前後,110日前後,3,百日（ももか）参りと呼び、地域によっては男児は110日目、女児は120日目に宮参りする。
36.かつて萩地域では「全然」をどう発音していた？(75),ジェンジェン,センセン,デンデン,3,萩地域では座布団はダブトン、全部はデンブなど、ざ行をだ行で発音することが多かった。
37.むつみ地方の方言で「おごる」とは何を意味する？(76),人にご馳走する,叱る,勢いが盛んになる,2,「おごる」は「叱る」の方言で、現在でも使われている方言。
38.大井地区で「ほぼろをふる」とはどんな意味？(77),ぼろを着る,養子にに行く,嫁が逃げ帰る,3,何かの理由で嫁が嫁ぎ先を出て実家へ帰ることをいう。「ほぼろ」は藁で作った袋状の入れ物。
39.越ヶ浜という地名の由来は何と言い伝えられている？(80),波が打ち越す浜,船を引いて越す浜,腰の高さしかない浜,1,萩城が開かれて70年ほど経ったあと、漁村として新たに作られたとされ、波が打ち越す浜が由来になったとされる。
40.萩王還の中で急な上り坂と石畳で有名な一升谷の名前の由来となったものは何？(84),水,豆,米,2,登り終えるまでに一升の豆を食べるほど険しいことから、その名前が付けられたとされる。
41.旭地域の佐々並にはむし風呂の原型である石風呂が残されている。この石風呂は焼いた石の上に何を敷いた？(85),海藻,くま笹,杉・ヒノキの葉,1,焼いた石の上に萩の海岸から運んだ海藻を敷木、その上で休んだ。神経痛・リウマチによく効いた。
42.かつて日本海を航海する回船などが須佐の高山を通過する際に行ったことは？(89),帆を上げて遥拝,若手乗組員の前転,祝い唄の奉納,1,高山は江戸時代から日本海航路の目印となっており、かつて高山を通り過ぎる際は帆を上げて遥拝していた。
43.昔むつみ地域で竜巻に巻き込まれ2人の姫が亡くなったと言われる物語は何？(92),瓜子物語,御舟子物語,空舟物語,2,御舟物語で竜巻に巻き込まれた2人の姫は、天の声により水の抜かれた湖の底から亡骸が見つけ出された。
44.むつみ地域にある県天然記念物の辻山のシダレザクラが咲く場所は、誰の修行場跡？(93),僧侶,忍者,山伏,3,現在山林であるが、1700年前この地に山伏が居を構え修行を行ったと伝えられている。
45.伊藤博文旧宅敷地にある像は何製？(96),陶製,銅製,コンクリート製,1,昔は銅像であったが、戦時中に供出された。現在は萩焼の像が設置されている。
46.平成16年の掘削により誕生した「はぎ温泉」はどこから湧出した？(98),公園,学校,民家,2,越ヶ浜中学校の敷地内から湧出した。はぎ温泉はラドンを多く含んでおり、療養泉として認定されている。
47.明治時代の中頃、夏みかんは何個で米一升と同じ値だった？(100),3~6個,6~7個,7~10個,1,明治9年に武士救済のため始まった夏みかんの栽培だが、明治20年頃には夏みかんは高値で取引され、3~6個で米一升分の値がついた。
48.夏みかんは明治9年以前は果物ではなく、果汁を食用酢として使用したが、それは何と呼ばれた？(101),ポン酢,萩酢,生酢,3,萩地方では夏みかんが果物として出回る前は酢の代わりに使い、これを「生酢」とよんだ。ちなみにオランダ語で柑橘の搾り汁をポンスと呼ぶ。
49.夏みかんの皮を用いてマーマレードを作ることを思いつき、最初に試した人物は？(102),伊藤博文,福沢諭吉,大隈重信,2,福沢諭吉は萩出身で、大阪適塾の同窓である友人松岡勇記から送られた夏みかんを、当時輸入されてたマーマレード着想し加工を試みた。
50.割竹に圧力をかけて板状に伸展したものを用いた民具が作られていたが、それは何？(106),すずり箱,スキー,曲げ物,3,板状に伸展した竹を使い、弁当箱やヒシャクなどの曲げ物が作られていた。曲げ物は一般的にはヒノキや杉の薄い板を曲げて作る。
51.萩地方でカタシと呼ぶある植物は、種から油を摂ることができる。このある植物とは？(107),ゴマ,大豆,椿,3,萩地方では椿をカタシとも呼ぶ。椿油は髪の毛や刃物の手入れに用いられる。
52.江戸時代、萩藩に来た幕府の巡見使に対する公式答弁書に記されている萩藩の名物とは？(109),赤間硯,スイカ,甘鯛,1,江戸時代には赤間硯と船木の櫛が萩藩の名物として知られ、藩からの贈答品としても使われていた。
53.萩市の玉江と鶴江は、江戸時代鱶（ふか）を獲ることにおいて日本で先進地だったが、どの辺りまで出漁していた？(112),壱岐・対馬近海,朝鮮半島近海,中国大陸近海,2,朝鮮半島近海への出漁は、江戸時代の終わり頃にはすでに始まっていたとされる。
54.江戸時代、沿岸捕鯨が盛んだった山口県日本海側で、鯨が一頭獲れるといくつの浦(漁業集落)が潤った？(115),五浦,七浦,八浦,2,11月から翌年2月末頃まで、萩沖から青海島方面に来遊し捕獲され、１頭捕まえると七浦が潤うと言われた。
55.市内の神社拝殿には鯨の髭を利用したあるものが掲げられているが、それは何？(118),弓と矢,からくり人形,絵馬,3,鯨の髭表面に、汽船捕鯨船の絵を描いた絵馬が掲げられている。この絵馬は捕鯨に携わった人たちが奉納したと考えられる。
56.萩特産のチリメンジャコは、何の稚魚を漁獲し釜茹でした後に干したもの？(120),カタクチイワシ,アジ,トビウオ,1,曳網で漁獲されるカタクチイワシは水揚げ後すぐに熱湯に通し乾燥させる。
57.萩地方では漁船を操る際に「ゴーヘイ」という言葉がよく用いられるが、これはどういう意味？(122),前進,進路維持,イカリ投入,1,英語のGo aheadがなまったもので、前進の意味。
58.萩地方では獲れた魚を入れる木箱をある漁法にちなみ「トロ箱」と呼ぶ。ある漁法とは？(123),船曳釣漁法,巻き網漁法,底引き漁法,3,汽船底引き漁法をトロール漁法と呼び、この漁法が導入される頃より輸出に便利な木箱が用いられるようになった。
59.かつて壱岐・対馬方面に出漁する萩地域の漁船で、岬や難所を公開する際に最若年乗組員が行っていたことは？(124),潮浴び,綺麗的な大笑い,前方回転,3,前方回転（でんぐり返り）を萩地域ではツンブリコと呼ぶ。これをしないと岬や難所を通航できないと言われた。
60.県内有数のスイカの産地である相島では、連作に強いある植物にスイカの芽を接いで苗を作るが、そのある植物とは？(128),カボチャ,ヘチマ,ユウガオ,3,耕地の広さの関係で、同じ畑で連作をする必要があるため、連作に強いユウガオを台とする。
61.大島や相島では葉タバコやスイカの栽培が盛んになる前に、除虫菊の栽培が行われていた。この除虫菊は何に使われた？(129),防虫剤,蚊取り線香,農薬,2,大島や相島は火山のため、温暖で水はけが良い土地をいかし、蚊取り線香に使われる除虫菊の栽培が行われていた。
62.田万川地域の小川は県下一の桃の産地であるが、栽培されていた中国産の桃の名前は？(130),楊貴桃,竜宮桃,肥城桃,3,肥城桃は山口県と友好協定を結ぶ中国山東省から県外不出を条件に、その穂木が贈られ、山口県内の一部の地域で栽培された。
63.田万川地域の小川で桃・梨・葡萄などの果樹園が盛んに行われている台地の名前は？(131),鶴江台,千石台,平山台,3,平山台が開拓されたのは中世後期頃と推測されており、果樹園として果樹の栽培が始まったのは昭和30年代。
64.むつみ地域の開拓地、千石台は県内でもある野菜の有数の産地である。その野菜は？(132),大根,茄子,人参,1,この地区は国の野菜（だいこん）指定産地に指定されている。
65.手作りの味でよく知られていた「佐々並豆腐」。この豆腐を好んで食べたのは誰？(135),伊藤博文,山県有朋,桂太郎,1,佐々並豆腐四代目亀太郎の時代に、伊藤博文が佐々並豆腐を大変気に入り、再三東京に出てくるように誘ったが「土地の名物の豆腐がなくなる」と言って断った話が有名。
66.福栄地域にはいくつか台地があるが、雲海を見ることができる台地はどこ？(136),平蕨台,長沢台,平原台,1,雲海は放射現象によって霧が広域に発生する自然現象。平蕨台では条件がうまく合えば、夏から秋にかけて天気の良い朝に雲海を見ることができる。
67.福栄地域の特産品で野菜や果物をそのまま炭にした商品の名前は？(139),お炭つき,お炭さま,お炭です,1,「お炭つき」は特許を取得しており、観賞用として、また部屋の脱臭や浄化効果。リラックス効果もある。
68.福栄地域ではシクラメンの栽培が盛んであるが、シクラメンの標準和名は？(141),ハナビバナ,トモシミバナ,カガリバナ,3,赤い花びらが上方に反り返って咲く姿が、篝火（かがりび）に似ているため、カガリバナと呼ばれる。
69.萩出身でフランスのナンシーに留学し、長門峡を全国に紹介したのは誰？(144),太田田龍（おおたでんりゅう）,有地含章（ありじがんしょう）,高島北海（たかしまほっかい）,3,高島北海の本名は高島得三。当時の農商務省に林業技師として仕え、明治政府によってフランスのナンシー森林学校に留学のため派遣された。
70.森寛斎の養父である森撤山は、京都の有名な画家の高弟であるが、それは誰？(146),土佐光起,狩野探幽,円山応挙,3,円山応挙は写生を基本とした画風をうちたて一家を成した。また応挙の弟子たちは明治維新後も京都だけでなく、全国各地で活躍した。
71.江戸時代の萩焼は、地元でなんとよばれていた？(153),松本焼,上野焼,椿焼,1,江戸時代には萩焼の窯が所在する地名をとって松本焼と呼ばれていた。
72.重要文化財常念寺表門の構造を何という？(161),薬医門,四脚門,高麗門,2,常念寺表門の構造は四脚門という。豊臣秀吉の居館であった京都「聚楽第」の裏門であったと伝えられている。
73.国指定重要文化財熊谷家住宅の主屋の土間を何という？(164),坪庭,中庭,通り庭,3,表口から裏口へ抜けられるようになっている通路にもなる土間で、通り庭という。町屋の特徴の一つ。
74.旧萩藩校明倫館南門の板蟇股（いたかえるまた）に彫刻されている鳥は何？(167),燕,鳳凰,鴨,2,嘉永2年(1849)に江向に新築された明倫館の正門として建てられた。彫刻の鳳凰は奈良法隆寺の宝物に施されている鳳凰丸紋から倣ったもの。
75.市指定夕景文化財南明寺観音の屋根の形を何という？(169),宝形造,切妻造,入母屋造,1,南明寺観音堂の屋根は宝形造でできている。これは平面が正方形の建物に見られる屋根様式で四面の屋根面が一つの頂点に集まるもの。
76.萩博物館の建物の一部で資料をもとに復元されたのはどこ？(172),長屋門,隅矢倉,玄関,2,博物館にある隅矢倉は昭和20年代まで残されていた。残された基礎石と古写真、そして実際に建物を使用していた人からの聞き取り調査を参考に復元された。
77.三見地区の眼鏡橋と呼ばれる三見橋はいつ建設されたもの？(175),明治時代,大正時代,昭和時代,2,大正3年(1914)に建設。単一アーチ型石橋としては県内で最大である。平成10年(1998)に国の登録有形文化財に登録された。
78.田万川地域の西堂寺にある県指定夕景文化財のお堂は上から見るとどんな形？(180),四角形,五角形,六角形,3,西堂寺のお堂は六角形であり、その形から六角堂とも呼ばれる。資料によると元禄9年(1696)の再建築時にそれまで四角形だったお堂を六角に仕立てたと考えられている。
79.一般的な萩の町屋の形式はどれ？(186),切妻造妻入り,入母屋造妻入り,切妻造平入り,3,一部の角地に建つ町屋を除いては、ほぼ切妻造平入りである。
80.山口県内で萩市と同じ重要伝統的建造物群保存地区を持つ市はどこ？(188),岩国市,山口市,柳井市,3,柳井市古市金屋伝統的建造物群保存地区は、昭和59年に国の選定を受けた。
81.萩城下の伝統的町屋では、一般的に表通りに面した部屋のことを何と呼ぶ？(191),オモテノマ,カミノマ,ミセノマ,3,ミセノマは店のものを見せる部屋の意。商いを行う町屋ではしばしばこの部屋が解放され、そこに商品が並べられた。
82.家のカドとはどういう意味？(193)　,前庭,部屋の隅,裏手,1,前庭の意味で、屋敷地の出入り口は門口とも呼ぶ。農家の前庭は農作業を行うことから広い。
83.萩市民間の夜景を彩るホールの照明デザインと同じ人による照明デザインが施されているのはどれ？(200),東京タワー,東京ドーム,東京都庁,1,照明デザイナーは石井幹子。代表作としては東京タワー、東京湾レインボーブリッジ、姫路城のアドがあり、萩市民館の照明デザインは最も初期の作品にあたる。
84.伝統的町屋の奥に設けられた坪庭（中庭）は風を採り入れる以外にどのような機能がある？(190),音を採り入れる,光を採り入れる,雨水を採り入れる,2,中庭があることで、町屋内部に風や光を採り入れることができた。家と家が接した町人地のまちyあでも風が通り抜け、夏場でも涼しく過ごすことができる。
85.北の総門のように本柱が支える切妻屋根とは別に、控え柱上部にも小屋根をかける門の形式を何という？(174),高麗門（こうらいもん）,冠木門（かぶきもん）,山門（さんもん）,1,北の総門は高麗門という形式のもので、城下から萩城三の丸（堀内）に入る総門として設置された。
86.刀の鍔で今の山口県下において制作されたものを何という？(149),萩鍔,長州鍔,長府鍔,2,長州鍔は室町末期n京都の戦乱を避けて山口に移住した鍔工が、長州鍔を制作したのが最初と伝えられている。長州鍔と称されることが多いが、萩で制作されたものが多い。
87.福栄地域のサンサン広場に設置されているものはどれ？(138),高床式倉庫,竪穴住居,前方後円墳,2,竪穴住居が設置されている。平成7年に発掘調査が行われた坂部遺跡を具体的にイメージできるよう設置された。
88.萩焼の茶碗は、使用しているうちに色艶が少しずつ変化する。これを何という？(151),萩の七化け,萩の七不思議,萩変化,1,萩焼は長年使うと表面の細かいひび割れを通し、味わい深い変化が生じることを萩の七化けという。
89.田万川地域には酒樽の形をした酒樽墓があり、この墓を3回まわって南に向かって腰を下ろし、何をすれば願いが叶うと言われている？(87),タバコを吸う仕草,お酒を飲む仕草,三味線を弾く仕草,1,墓を中心に3回まわって南に向かって腰を下ろし、タバコを吸う仕草をしながら「3度まわってタバコにしよう」と言うと願い事が叶うと言う言い伝えがある。
90.萩地方に伝わる神楽舞の一部の演目において、舞手が失神状態になることがある。この状態を何と言う？(70),鬼がつく,鬼が舞う,鬼が笑う,1,舞手が見物人に囃し立てられながら激しく舞うことで失神状態になることがあり、これを鬼がつくと言う。鬼がつくと豊作になると言う言い伝えもある。
91.天神祭で市内古萩まちから奉納される大名行列に盛装乗馬の男児が付き添うが、これを何と呼ぶ？(31),公達（きんだち）,若党（わかとう）,旦那,3,市内古萩町から大名行列と呼ばれる華やかな奉納奴行列が繰り出され、それに付き添う盛装乗馬の男児を旦那という。語源については伝わっていない。
92.江戸時代、ある理由により絵の描いていない凧を上げるものではないとされていた。そのある理由とは？(51),嵐をよぶ,雪をよぶ,家事をよぶ,1,絵のない凧を上げると嵐をよぶとされていた。林茂香「幼時の見聞」によると、江戸時代の終わり頃から明治時代の初め頃まで萩地域にはカレイ、長崎、鬼、ドウジン、カンペイの５種類の凧があったとされている。
93.相島では、裂いた古布を緯糸に使う裂織の作業着が作られていたが、これを何とよぶ？(59),ドンザ,サシコ,ツヅリ,3,裂いた古布を緯糸に使う裂織の作業着をツヅリと呼んだ。厚手の丈夫な布で、嫁入り前に数着調えたものが一生使えたという。
94.萩地方の方言で、親友のことを何という？(72),チングー,ポンユー,ホーバイ,1,朝鮮語で友人のことをチングと表現するが、島根県から山口県、北九州から福岡県、佐賀県、長崎県の海沿いの一部でも親友のことをチングーと呼ぶ。
95.かつて見島で用いていた「アブタヲクム」と言う言葉は何を意味する？(78),あぐら座りをする,立膝で座る,正座をする,1,アグタヲクムはあぐら座りをすると言う意味で、山陰や北陸方面にも同類のものが伝わる。回船の寄港地であった見島には、回船の活動により遠隔地の言葉や民謡などが伝わっている。
96.萩地方では、苗字ではなく別の呼び名で呼ぶことがあるが、その呼び名を何と言う？(79),四股名（しこな）,字（あざな）,門名（カドナ）,3,越ヶ浜では越前屋、越後屋といった船宿だったことを表す門名、油屋や豆腐屋といった生業を表す門名、忠兵衛や又兵衛といった先祖を表す門名など多種多様な門名が伝えられている。
97.越ヶ浜にはかつて上方と北陸・東北地方を行き来する船が回船が寄港していたが、この回船の世話する家を何と呼んでいた？(81),北国問屋,船回し,船宿,3,回船の世話をする家を船宿と呼んでいた。浜崎も港町だが、河口ゆえ水深が浅いため大型の回船は越ヶ浜に寄港した。
98.旭地域で日本で一番最後まで行っていた珍しいことは何？(99),村役場の定期移動,村名の定期変更,村長二人制,1,旭地区では定期的に庁舎移転をしていた。平成8年に固定化され現在は旭総合事務所になっている。
99.阿武川ダムが建設される以前、三角州の海抜が低い一帯が持っていた重要な機能は？(108),貯水池,遊水池,蓄養池,2,三角州の低湿な一帯は、遊水池としての機能を持っており、蓮田（蓮根畑）や水田として利用された。
100.国指定重要文化財菊屋家住宅などに見られる瓦を貼り付けている壁を何と言う？(163),海鼠壁（なまこ壁）,貼り壁,瓦壁,1,瓦の目地を漆喰で盛り上げた形が海鼠（半円形）に似ていることから海鼠壁（なまこ壁）と言う名前がついた。
