question,answer1,answer2,answer3,correct,comment
84.萩市内に、あるバラ（イバラ）の一種が世界で初めて発見され、名前の由来となった場所がある。それはどこ？,笠山,伏馬山,見島,3,昭和14年ごろ、萩の博物学者が見島小学校の教員と連絡をとりつつ発見したもので、ミシマノイバラと名付けられた。
87.大井地区羽賀に県内最大のカゴノキがある。その名前の由来は？,籠の材料にしていた,鹿の子の模様がある,神仏の御加護がある,2,焦茶色の幹の樹皮が剥がれると、白いマダラ模様に見える。これが鹿の幼獣の模様に似ていることから、鹿の子の木、「鹿子の木（カゴノキ）」と呼ばれるようになった。
88.リュウキュウエノキの日本最大級の巨樹があるのは、萩の沖のどこ？,羽島,櫃島(ひつしま）,見島,2,リュウキュウエノキは沖縄に多い木で、南からの海流の影響を受ける九州から見島にかけて点々と見られる。
94.田床山に、虫を捕らえる食虫植物イシモチソウが生えている。この名前の由来は？,茎の中に石がある,粘着物質が出て石がくっつく,石のような実をもつ,2,イシモチソウは葉から粘着物質を出して小さな昆虫をくっつけて捕らえ、栄養にする。粘着物質は強力で、分泌したところに小石がくっつくこともあるため、その名がついた。
97.笠山虎ヶ崎周辺にある池で本当にある池の名前はどれ？,エビ池,タコ池,タイ池,1,池の水に岩の隙間を通った海水が混じり、潮の干満のように、水面が上下する。周辺にはシバナやイワタイゲキなどの塩水を好む植物も見られる。
101.日本各地で春頃にホンダワラなどの海藻がちぎれて浮かび、漂流してよその海岸運ばれる。このような海藻を何という？,流れ藻,渡り藻,漂い藻,1,流れ藻は様々な幼魚などの住処になりながら海流に乗って各地に運ばれるので、南の海の生物が萩にやってくる「方舟」の役割を果たしている。
115.須佐の高山のふもとの地層から、約1500万年前の生物の化石が発見された。それは何？,恐竜,アンモナイト,ウミガメ,3,スサガメと命名し学会に発表された。日本でウミガメの化石が見つかったことはほとんどないため貴重な発見となった。
136.見島の沖で、以前は大きなクロマグロが釣れたこともあり、今も全国的に有名な釣りポイントはどこ？,沖ノ磯,八里ヶ瀬,千里ヶ瀬,2,八里ヶ瀬は見島の北にある海底の山で、対馬暖流が当たって潮の流れが複雑になる。そのため、海水が混ぜられてプランクトンがたくさん発生し好漁場となっている。
152.阿武川や田万川の上流に、海に下ることなく居ついたままのマスがいるが、それはなんと呼ばれる？,ヤマメ,アマゴ,ニジマス,1,サクラマスというマスの一種は、川で生まれて海に下り、再び川へと戻ってくる。しかし、同じサクラマスでも川にそのまま居つく陸封型がヤマメとよばれる。
156.萩を代表する海産物の一つ、アワビは貝類であるが、何の仲間の貝？,巻き貝,二枚貝,巻き貝と二枚貝,1,アワビの貝殻はよく見ると端の方が巻いているので、「殻口の広い巻き貝」である。
184.萩には何種類の昆虫が住んでいる？,500種,1000種,4000種,3,県内では平成11年（1999年）の時点で約6500種が記録され、そのうち約4000種が萩に生息していると見積もられている。
190.ミカドアゲハの名前にはなぜ「帝（みかど）」がついている？,神社の境内でよく見られるため,古都によく見られるため,皇族が発見したため,1,このチョウは幼虫の餌となるオガタマノキやタイサンボクといった木が多く生えている神社の境内などによくみられるため、「帝揚羽」と名付けられた。
