question,answers1,answers2,answers3,correct,comment
31.須佐地域の高山の山頂に、磁石石があるが、それはどんな石？,白っぽい石（砂岩）,赤っぽい石（安山岩）,黒っぽい石（斑れい岩）,3,斑れい岩は、色のついた鉱物をたくさん含んでいるため黒っぽく、また、磁鉄鉱が多い部分に強い磁力を持っている。
32.萩で一番高い山・男岳の高さは何メートル？,567m,678m,789m,3,県内には男岳より西に、これ以上高い山はない。
33.萩付近にはたくさんの火山があるが、次のうち火山でないものはどれ？,伏馬山,羽賀台,田床山,3,田床山は火山ではなく、約１億年前に火山が噴火してできた地層の一部でできている。
35.阿武川は、萩を代表する川であるが、県内1を誇る点は何か？,本流の長さ,枝分かれを含めた流域面積,支流の数,3,支流が60あり、県内で1位。ちなみに流域面積は県内2位。
39.長門峡の名前を提唱したのは誰？,高島北海,井上剣花坊,吉田初三郎,1,かつては耶馬溪になぞらえ「長門耶馬溪」と呼ばれていたが、大正９年に画家であり地質学を学んだ高島北海の発案により「長門峡」と改名された。
43.萩市の一部の海岸で見られる、踏むと「キュッキュッ」と音が鳴る砂をなんという？,響砂（ひびきすな）,鳴砂（なきすな・なりすな）,音砂（おとすな）,2,石英の粒が多い、粒の大きさが均一、ごみが少ないなどの条件が揃っていると、踏んだ時に音がする。
44.萩で火災の発生に気を付けなければならないのは、次の気象現象のうちどれ？,エルニーニョ現象,ラニーニャ現象,フェーン現象,3,南からの湿った風が、中国山脈を越える時に高温の乾いた風になって萩に吹いてくるのがフェーン現象。
45.黄砂はどこから飛んでくる？,市内各地の砂浜,沖縄や台湾,中国やモンゴル,3,黄砂は中国やモンゴルの砂漠や乾燥地帯の砂埃が、強風で上空に巻き上げられ、日本各地に降り注ぐもの。
46.島根県の市町村で萩市に接していないのは次のうちどこ？,益田市,浜田市,津和野町,2,山口県の阿武町、山口市、長門市、美祢市と、島根県の益田市、津和野町と接している。
47.萩の海岸で、海に沈む夕陽を最も見やすい時期はいつ？,3月下旬,6月下旬,12月下旬,2,夏至（6月21日頃）に太陽が最も北寄りを通るため、海岸が北西に向いている萩ではこの頃が一番見やすい。
50.萩沖の日本海には温かい海流が流れている。それは何という海流？,親潮,日本海流,対暖流,3,対馬海流ともいう。九州と朝鮮半島の間の対馬海峡を通って日本海へ流れ込み、萩の沖を通ってさらに北へと流れていく。
51.萩沖を通る暖流は、一般には黒潮から枝分かれしたものと考えられているが、その黒潮はどこの海で誕生する？,九州の沖,沖縄の沖,フィリピンの沖,3,黒潮はフィリピン沖で誕生し、日本に向かって北上する。
53.萩の大地は山がちで険しいのに対し、海底は平らである。このような平らな海底を何という？,大陸棚,海底台地,海盆,1,萩の海底は、ユーラシア大陸の沿岸から続く日本海付近で最大級の大陸棚の一部である。
54.萩の海底はどのようになっている？,ほぼ砂地だらけ,岩礁だらけでごつごつ,砂地の所々に岩礁がある,3,萩沖の海底はほぼ砂地で、所々に「瀬」といわれる岩礁がある。瀬の多くは火山の噴火によってできたものである。
55.日本海の萩と瀬戸内海の防府とでは、潮の満ち引きにどのような違いがある？,萩の方が大きく満ち引きする,防府の方が大きく満ち引きする,どちらも変わらない,2,日本海と違い、瀬戸内海はすぐ近くを陸に囲まれ、水深が浅い。そのため、月・太陽の引力による潮の満ち引きが増幅されやすい。
56.赤潮とは、海の中であるものが異常に増えて海が変色して見える現象である。あるものとは？,赤土,プランクトン,銅の粉末,2,赤潮とは海水中の栄養分が増加するなどの原因により、特定のプランクトンが異常に増えてジャイ水が変色して見える現象で、萩近海でも春を中心にときどき発生する。
57.日本各地に磯や浅海で起こっている、岩場の海藻が激減したり姿を消したりする現象は何？,磯痩せ,磯荒れ,磯焼け,3,磯焼けが続くと、海の環境が悪化したり、海藻を餌や住処としている生物が減るなどの影響が起こる。
58.萩の海岸でも見られるプラスチック製の飲料ボトルが分解されて自然界に無害になるまで何年かかる？,約4年,約45年,約450年,3,あるデータによると、ごみが微生物によって分解され自然界に影響を与えなくなるまでに、プラスチック瓶は約450年、釣り糸は約600年かかるという。
61.役2〜1.5万年前の萩は寒かった。このことは萩の地下から植物に関連した何が見つかったことで判明した？,実,花粉,埋もれ木,2,花粉は保護物質で包まれているため、酸素のない地層に何万年も腐らないまま残っている。そのため、地層から見つかった花粉の種類を調べ、その植物により当時の環境を知ることができる。
62.萩の「市の木」に指定されているのは次のうちどれ？,ヒノキ,ツバキ,ハギ,1,「市の木」はヒノキとマツ。ツバキとハギは「市の花」。そのほか、夏みかんは「市の果樹」に指定されている。
63.「萩といえば夏みかん」と言われるが、夏みかんの源樹はどこにある？,萩市堀内,萩市笠山,長門市青海島,3,江戸時代の中頃に西本於長が大日比に流れ着いた果実の種を植えたのが始まりとされ、今でも大日比に原樹が残っている。
64.夏みかんはさまざまな名前で呼ばれるが、標準和名は何？,夏みかん（夏蜜柑）,ナツカン（夏柑）,ナツダイダイ（夏橙・夏代々）,3,夏みかんという呼び方は、明治半ばに大阪の問屋の勧めで「夏蜜柑」という商品名が付けられ、それが一般にも広がった。
70.「長門ユズキチ」の愛称で親しまれているみかん科の植物の原産地はどこ？,長門市仙崎,萩市川上地域,萩市田万川地域,3,ゆずとみかんの性質を併せ持った品種。一つの身からたくさんの果汁がとれ、刺身を食べるときに醤油に付け加えると美味。
73.ミドリヨシノは、ソメイヨシノと比較してどのような特徴がある？,花びらが緑色,がくが緑色,雄しべが緑色,2,ソメイヨシノは花びらが薄桃色で、がく（花びらを支える所）が紅色。ミドリヨシノは花びらが白色でがくが緑色のため、遠くから見ると梨の花のように見える。
76.むつみ地区にある県指定天然記念物「辻山のシダレザクラ」の樹齢は何年？,約100年,約200年,約300年,3,「辻山のシダレザクラ」の樹形は、樹高15.8m、主幹の目通り幹囲は226cm、樹齢は300年とされている。
80.萩市内に江戸時代からの松の古木が多かったものの、現在かなり現象している松の種類は何？,アカマツ,クロマツ,カラマツ,2,萩は県内でも特にクロマツが多いところだったが、松食い虫や、一説では環境汚染などの影響もあり、松枯れが進んでいる。
83.三見地区にはバクチの木と呼ばれる全国有数の巨木がある。この名前の由来は？,博打に勝った姿,爆竹のように弾ける様子,博打に負けた姿,3,樹皮が大きく剥がれる様子を、博打に負けたものが「身ぐるみを剥がされる様子」に例えて名付けられた。
84.萩市内に、あるバラ（イバラ）の一種が世界で初めて発見され、名前の由来となった場所がある。それはどこ？,笠山,伏馬山,見島,3,昭和14年ごろ、萩の博物学者が見島小学校の教員と連絡をとりつつ発見したもので、ミシマノイバラと名付けられた。
87.大井地区羽賀に県内最大のカゴノキがある。その名前の由来は？,籠の材料にしていた,鹿の子の模様がある,神仏の御加護がある,2,焦茶色の幹の樹皮が剥がれると、白いマダラ模様に見える。これが鹿の幼獣の模様に似ていることから、鹿の子の木、「鹿子の木（カゴノキ）」と呼ばれるようになった。
88.リュウキュウエノキの日本最大級の巨樹があるのは、萩の沖のどこ？,羽島,櫃島,見島,2,リュウキュウエノキは沖縄に多い木で、南からの海流の影響を受ける九州から見島にかけて点々と見られる。
94.田床山に、虫を捕らえる食虫植物イシモチソウが生えている。この名前の由来は？,茎の中に石がある,粘着物質が出て石がくっつく,石のような実をもつ,2,イシモチソウは葉から粘着物質を出して小さな昆虫をくっつけて捕らえ、栄養にする。粘着物質は強力で、分泌したところに小石がくっつくこともあるため、その名がついた。
95.笠山に寒冷地性のシダのコタニワタリやホソイノデが自生している。それらは笠山のどこに生えている？,風穴のまわり,山頂の火口のまわり,虎ヶ崎の海辺,1,笠山は全体として萩の他の地域と同じく温暖だが、風穴のまわりだけは夏でも涼しいため、寒冷地帯のシダが自生している。
97.笠山虎ヶ崎周辺にある池で本当にある池の名前はどれ？,エビ池,タコ池,タイ池,1,池の水に岩の隙間を通った海水が混じり、潮の干満のように、水面が上下する。周辺にはシバナやイワタイゲキなどの塩水を好む植物も見られる。
99.近年萩には元々生息していなかったオオカナダモという水草が阿武川で繁殖している。これはどこから来たものか？,国内の関東地方,東南アジア,南アメリカ,3,オオカナダモは南アメリカ原産。理科の実験や観賞用として国内に持ち込まれたが、何らかの理由で野外に放されたものと考えられる。
101.日本各地で春頃にホンダワラなどの海藻がちぎれて浮かび、漂流してよその海岸運ばれる。このような海藻を何という？,流れ藻,渡り藻,漂い藻,1,流れ藻は様々な幼魚などの住処になりながら海流に乗って各地に運ばれるので、南の海の生物が萩にやってくる「方舟」の役割を果たしている。
102.ワカメは萩で春の食材として重宝されているが、その葉で一番新しい部分はどこ？,上に伸びた葉の先端,左右に広がった葉の両端,根本近く,3,ワカメの成長帯は茎と葉の境界部にあたるため、根本に近いほど新しい。逆に先端ほど古く、痛んだり破れたりしていることが多い。
103.萩の沿岸に生えている、寒天や心太の材料となる海藻はどれ？,コンブ,ヒジキ,テングサ,3,標準名はマクサで、萩にはたくさん見られる。日光で干してさらし、白くなったものを煮溶かして寒天や心太を作る。
104.萩でよく食べられる海藻で、漢字で「水雲」と書くものは何？,ワカメ,ヒジキ,モヅク,3,モヅクは、ホンダワラなどの大きな階層にくっつくため、「藻付く」と呼ばれるなど名前の由来に諸説があるが、漢字では「水雲」と書かれる。
105.江戸時代の文献にも記され、かつては阿武川の岸辺などに生息指していたが、今では全く見られなくなってしまった動物は？,アライグマ,オオサンショウウオ,ニホンカワウソ,3,江戸時代にはニホンカワウソが萩を含む県内各地の川辺や岸辺に生息していた。明治以降に毛皮の採取や河川の改修などにより絶滅したとされる。
107.水溜まりの上にせり出した木の枝に、ケーキに使うメレンゲのような泡の卵塊をぶら下げるカエルはどれ？,トノサマガエル,モリアオガエル,ニホンヒキガエル,2,モリアオガエルは日本固有のカエル。モリアオガエルが生息して行くことができる、湖沼の周りに雑木林があるような環境が減ってきている。
108.イシガメやクサガメは日本各地に分布しているが、天然記念物に指定されている生息地が萩にある。それはどこ？,萩城跡の堀,大井川の中流,見島のため池,3,本土にも生息するイシガメやクサガメが、離島である見島にも生息していることが、見島はかつて本土と陸続きだったことを裏付ける貴重な証拠となり、国の天然記念物に指定された。
110.萩を含む日本本土の野山で見られるヘビのうち、マムシ以外で毒があるのはどれ？,ヤマカガシ,シマヘビ,アオダイショウ,1,ヤマカガシは昔は無毒とされていたが、後に強い毒があることが分かった。
112.木から木へと飛び移り、各地で「天狗」に例えられている動物が萩にもいるが、それは何？,ムササビ,オオコオモリ,テナガザル,1,ムササビはリスに近い哺乳類。かつて椿地区で目撃されたり椿東地区で捕獲されたことがあり、現在でも広い森が続くしない各地の山地や寺社林などに生息していると考えられている。
114.むつみ地域や田万川地域でクマが出没することがあるが、その種類は？,ツキノワグマ,ヒグマ,ツキノワグマとヒグマ,1,ツキノワグマによる獣害が生じているが、近年広葉樹の伐採や交通事故などにより、数が減っている。ヒグマは日本では北海道にしか生息していない。
115.須佐の高山のふもとの地層から、約1500万年前の生物の化石が発見された。それは何？,恐竜,アンモナイト,ウミガメ,3,スサガメと命名し学会に発表された。日本でウミガメの化石が見つかったことはほとんどないため貴重な発見となった。
117.次の島々のうち、渡り鳥の中継地として全国に知られている島はどこ？,大島,見島,相島,2,絶海の孤島の見島は、対馬や舳倉島と共に格好の休憩地になっている。
120.阿武川の流域などで見られるハヤブサは、遠くからでもオスメスが見分けられる。それはどんな点？,メスの方が大きい,オスの方が足の指が長い,オスは胸の模様が横しま,1,猛禽類タカ科は普通メスがオスよりも大きく、ハヤブサにおいても同じ。萩では笠山などでも崖で繁殖している。
121.川上地域に時々飛んでくるオジロワシは、ある国の「国鳥」とされている。その国はどこ？,ロシア,モンゴル,カザフスタン,2,オジロワシはシベリアやモンゴルなどのユーラシア北部で生まれ育つが、冬は大地が凍るため日本に渡ってくる。川上地区では以前から時々観測されている。
124.ツバメは東南アジアから萩までに約200kmを飛んでやってくる。その体重は約何g？,250g,100g ,25g,3,体重わずか25gの小鳥が、何千kmもの距離を飛んで渡ってくる。春に日本に渡来し、雛の餌となる昆虫がたくさん発生する稲作の時期に合わせて巣作りをする。
125.萩の漁港などでウミネコという鳥をよく見かけるが、その名前の由来は？,猫のような声で鳴く,餌をめぐって猫と争う,ネズミをよく捕らえて食べる,1,猫のように「ミャーオ、ミャーオ」と鳴くためその名がついた。海辺に住む日本を代表する中型のカモメの仲間。
126.冬になると萩市内の市街地や人里で多く見られるようになる鳥はどれ？,カラス,スズメ,バン,3,萩市内ではカラスやスズメが多く見られるが、冬になるとバンやオオバンなどの水鳥が多く見られる。
128.笠山のふもとにある明神池には、主にどんな魚が住んでいる？,コイやフナなどの淡水魚,サケやアユなどの川と海を行き来する魚,タイやエイなどの海水魚,3,明神池は、笠山と本土の間に砂洲ができて陸続きになっていた時に埋め残された池。溶岩の隙間を通じて海と繋がっているため、海水魚が住んでいる。
129.萩には昔から深海魚がしばしば出没するが、「深海魚」とは水質何mより深い海に住む魚のこと？,200m,500m,1000m,1,水深200mより深い海を「深海」と言う。萩の海は大陸棚が広がっているため水深が200m内にも関わらず、リュウグウノツカイやシャチブリなどの深海魚がしばしば出没する不思議な海として知られている。
132.萩の名産「焼きぬき蒲鉾」の主な原料となっている魚はどれ？,フグ,イワシ,エソ,3,エソは砂地に伏せたり潜んだりし、カニや貝などを襲って食べる。焼きぬき蒲鉾にはエソの他、キダイも使用されることがある。
134.萩のブランド魚のアマダイは生きている時どのような生活をしている？,群れをなして海面近くを回遊している,岩に生えた海藻の間に潜む,海底の砂に巣穴を掘って潜む,3,海底の砂に巣穴を掘って顔だけを出してひそみ、目の前を通るエビやカニなどを襲って食べる。
136.見島の沖で、以前は大きなクロマグロが釣れたこともあり、今も全国的に有名な釣りポイントはどこ？,沖ノ磯,八里ヶ瀬,千里ヶ瀬,2,八里ヶ瀬は見島の北にある海底の山で、対馬暖流が当たって潮の流れが複雑になる。そのため、海水が混ぜられてプランクトンがたくさん発生し好漁場となっている。
137.冬場に萩で出回ることがある、3~4kgのクロマグロの子どもはなんとよばれる？,ぼてこ,さしご,よこわ,3,3~4kgの若い魚は頭を上にした時に横に輪をかけたような縞があるため「よこわ（横輪）」とよばれる。
138.はぎでもよく獲れるマグロやイワシなどの「青魚」にとくに含まれ、肥満や認知症の予防に効くと話題になっている物質は何？,DNA,DHA,ATP,2,ドコサヘキサエン酸の略で、魚の脂に多く含まれている。脳を活性化させたり、視力を良くしたり、中性脂肪を抑えるのに効くとされている。
141.萩で「金太郎」と呼ばれるヒメジは、不思議な技を使う。それは何？,敵に襲われると電気を発生する,粘液で風船を作りその中で眠る,ヒゲを使って餌を探し当てる,3,ヒメジはあごから2本のヒゲが生えている。そのヒゲには味を感じる器官がついていて、ヒゲで海底をさぐって砂に潜んでいるエビなどの餌を感知することができる。
142.萩沖の砂底で獲れる次の魚のうち、目が体の左側に寄っているのはどれ？,ソウハチ（キツネガレイ）,ヒラメ,アンコウ,2,「左ヒラメ右カレイ」というように、目のある側を上、腹を手前にして魚を置いたとき、頭が左にあればヒラメ類、右ならカレイ類（例外あり）。
146.萩の海にも時々現れ、大量をもたらす「福の神」としてありがたがられている大きな魚は？,ジンベエザメ,クロマグロ,オニイトマキエイ（マンタ）,1,普通は体調4~7m、最大で14mにもなる世界最大の魚。プランクトンなどを食べるおとなしいサメで、周りに小魚が身を守るため群がり、それを追ってカツオなどがやってくる。
147.萩近海にたくさん生息しているが、かつて吉田松陰が食べないと決意していた魚は？,サメ,アマダイ,フグ,3,吉田松陰は、河豚（ふぐ）の味に惑わされ毒にあたって命を落とすのは武士の名折れであるから、自分はフグを食べないと「河豚を食わざるの説」を記している。
148.近年萩の海で「沖縄の県魚」とされている魚が目撃されることがある。その魚は？,カツオ,タカサゴ（グルクン）,モンガワラハギ,2,体長20cmほどの青く美しい魚で、死ぬと赤に変わる。熱帯の海に多いが対馬暖流も影響の強い見島や相島近海で近年ダイバーに目撃されたり漁獲されることがある。
149.萩の早春の風物詩となっている四つ手網漁で獲る魚は？,シロウオ,アジ,アマダイ,1,シロウオは体長4~5cmほどのハゼ科の魚。酢醤油（すいち）につけて活きたまま食べる「おどり食い」が有名。
152.阿武川や田万川の上流に、海に下ることなく居ついたままのマスがいるが、それはなんと呼ばれる？,ヤマメ,アマゴ,ニジマス,1,サクラマスというマスの一種は、川で生まれて海に下り、再び川へと戻ってくる。しかし、同じサクラマスでも川にそのまま居つく陸封型がヤマメとよばれる。
156.萩を代表する海産物の一つ、アワビは貝類であるが、何の仲間の貝？,巻き貝,二枚貝,巻き貝と二枚貝,1,アワビの貝殻はよく見ると端の方が巻いているので、「殻口の広い巻き貝」である。
160.萩の海で見つけることのできるタカラガイ（別名コヤスガイ）はかつて古代中国で人類初の何として使われた？,印鑑,矢尻,貨幣,3,タカラガイにも色々な種類があるが、特にキイロガイという種類は貨幣として使われただけでなく、「貝」都いう漢字のモデルにもなった。お金に関した漢字に「貝」の部首が使われるのもこれが理由。
165.冬、萩にの浜辺には白くて優雅なアオイガイの殻が漂着することがある。そのアオイガイの正体は？,巻き貝の仲間,タコの仲間,イカの仲間,2,世界中の暖かい海を泳いで暮らすカイダコというタコの一種。メスが自分の卵を保育するために殻を作り、中に入ったまま泳いで暮らしている。オスは非常に小さく、殻を作らない。
166.須佐地域で「須佐男命（みこと）いか」としてブランド化され人気を呼んでいるイカは、何という種類？,スルメイカ,アオリイカ,ケンサキイカ,3,ケンサキイカは日本各地でも獲れるが、須佐ではこのイカの真の魅力を伝えようと、手釣りで漁を行い活きたまま出荷している。
169.春に萩の海岸に現れ、「海鹿」「海牛」とよばれるアメフラシは、触るとどんなことを起こす？,黒い墨を吐く,紫色の液を出す,白いひものようなものをたくさん出す,2,敵に襲われると紫色の液を出す。巻き貝の仲間で、体に内部に小さな貝殻の名残がある。
170.萩三角州の南橋の松本川と橋本川が交わる太鼓湾ではシジミが獲れる。それはどんなシジミ？,琵琶湖原産のセタシジミ,手のひらサイズのヒルキシジミ,汽水にすむヤマトシジミ,3,海水が太鼓湾にまで遡って侵入している。そのためここは宍道湖（しんじこ）などで有名な海水と淡水が混ざった「汽水」にすむシジミが生息している。
173.萩の磯ではウニがよく獲れるが、食べられるのはどの部分？,筋肉,脳,卵巣・精巣,3,私たちが普段食べているウニは卵巣と精巣で、ウニ１つにつき５枚入っている。なお、萩でよく食べられるウニはムラサキウニ、アカウニ、バフンウニの３種類。
174.漢字で「海鼠」と書き、萩の漁業者の間で「たぁらご（俵子）」とよばれているものは何？,ホヤ,ナマコ,ウニ,2,冬の味覚として特に親しまれているのはマナマコという種類。なかでも赤みを帯び高級とされる「赤なまこ」が萩ではよく獲れる。
179.世界で見島にしか住んでいないため市の天然記念物に指定されているタダムシオイは何の仲間？,ヒル,カタツムリ,アメーバ,2,ナメクジはカタツムリと共に、陸上に住む軟体動物。また、貝殻を持たない巻き貝の仲間。
184.萩には何種類の昆虫が住んでいる？,500種,1000種,4000種,3,県内では平成11年（1999年）の時点で約6500種が記録され、そのうち約4000種が萩に生息していると見積もられている。
187.次のグループの昆虫のうち、萩に体が世界一小さい種類がいるのはどれ？,セミ,チョウ,トンボ,3,ハッチョウトンボという、体長2cmにしかならない世界一小さなトンボがしないの小木原などで確認されている。
188.昭和40年（1995年）代の萩で、子どもたちが駆除のアルバイトをしていた夏みかんの害虫は何？,ゴマダラカマキリ,カイガラムシ,アゲハチョウ,1,子供たちが夏みかん畑で成虫を捕まえ、その頭を紐に通して農協に持ち込むと、頭数分の代金がもらえた。
190.ミカドアゲハの名前にはなぜ「帝（みかど）」がついている？,神社の境内でよく見られるため,古都によく見られるため,皇族が発見したため,1,このチョウは幼虫の餌となるオガタマノキやタイサンボクといった木が多く生えている神社の境内などによくみられるため、「帝揚羽」と名付けられた。
192.萩には「日本の国蝶」とされるチョウが生息しているが、それは何？,ギフチョウ,ミカドアゲハ,オオムラサキ,3,日本国内に広く分布し、体が大きくて害虫でないことを理由に、昭和32年（1957年）の日本昆虫学会で国蝶に選ばれた。萩市では須佐地域などで、7月頃に成虫を見ることができる。
193.次の中で最も早く鳴きはじめるセミはどれ？,ニイニイゼミ,クマゼミ,アブラゼミ,1,萩ではまず6月下旬からニイニイゼミ鳴きはじめ、次いで7月上旬からアブラゼミ、7月中旬からクマゼミと続く。セミの鳴き始めの時期は地域によって異なり、気候の違いや変動を知る手がかりにもなっている。
196.萩に見られるハチで最も危険性（攻撃性や毒性）が高い種類はどれ？,アシナガバチ,スズメバチ,クマバチ,2,スズメバチは自分から黒い物に襲いかかってくるいほど攻撃性が強く、死者も出す。アシナガバチは刺激しなければ刺さないがショック死の例があり、注意が必要。クマバチはよほど刺激しない限り襲ってこない。
197.「市の生物」されている蛍には色々な種類がある。市内で最も放流・保護され親しまれている種類はどれ？,ゲンジボタル,ヘイケボタル,ヒメボタル,1,萩を含め全国的に最も親しまれているのは、体長1.5cmになるゲンジボタル。ヘイケボタルやヒメボタルはもっと小さく、萩にも生息しているが少ない。
198.萩には県内有数のヒメボタルの発生地がある。このホタルはどのような点が珍しい？,川辺ではなく海辺に住む,川辺ではなく陸上に住む,青い光を出す,2,ヒメボタルは、ゲンジボタルやヘイケボタルのように幼虫時代を水中で過ごすことなく、一生を陸上ですこす。白っぽく強力な光を速く点滅させるため人気がある。萩では指月山で見ることができるが近年数が減っている。
200.萩を含む全国各地で、カブトムシやクワガタムシを見つけるにはどんな植物のまわりを探せば良い？,クヌギなどの落葉紅葉樹,マツなどの常緑針葉樹,ツバキなどの常緑紅葉樹,1,カブトムシやクワガタムシの仲間の多くはクヌギやコナラなどの落葉紅葉樹に集まり、その樹液を食べる。
